,0,1
360,17.32139,2.171607
361,17.632336,3.182438
362,17.72995,4.4069123
363,17.953938,6.104665
364,17.943739,7.2288256
365,17.879007,8.363326
366,16.849953,2.505405
367,16.937452,3.3128765
368,17.188992,4.435863
369,17.310534,5.8675776
370,17.322895,7.2621064
371,17.171577,8.219501
372,16.10085,3.1525161
373,16.250402,4.111666
374,16.323736,4.8227534
375,16.277428,5.6258035
376,16.107584,6.739826
377,16.09123,7.575385
378,15.036494,3.9004407
379,15.078305,4.4548492
380,15.169431,5.125783
381,14.975837,5.888819
382,14.949239,6.7141585
383,15.031936,7.2039485
384,13.997494,4.253173
385,14.091137,4.8685174
386,14.109006,5.7938795
387,13.848326,5.8824487
388,13.807222,6.523631
389,13.874246,7.0214276
390,13.34865,4.5843935
391,13.525623,5.017609
392,13.223134,5.5718303
393,13.088927,5.997522
394,12.916801,6.416194
395,13.0734625,6.7935376
396,16.618507,2.187093
397,16.709076,3.1065128
398,16.809996,4.5677094
399,17.103142,6.0949826
400,17.286196,7.390975
401,17.168789,8.422632
402,15.962154,2.7917702
403,15.9706135,3.5679069
404,16.213774,4.920683
405,16.21949,5.921904
406,16.518991,7.2524095
407,16.360233,8.305937
408,15.332909,3.4930754
409,15.245764,4.3046374
410,15.387313,5.202094
411,15.285741,6.0633864
412,15.338799,7.0840497
413,15.231471,7.67078
414,14.315905,4.1307135
415,14.263488,4.577484
416,14.294106,5.4220376
417,14.096961,5.937682
418,14.091567,6.871751
419,14.129157,7.310954
420,13.274498,4.5795093
421,13.075459,4.8961205
422,13.203658,5.7692356
423,12.944262,5.798985
424,13.016441,6.516893
425,12.881572,7.02064
426,12.696423,4.6460023
427,12.567381,5.0626144
428,12.633296,5.815514
429,12.378537,6.0197806
430,12.17742,6.3552055
431,12.278255,6.5699725
432,19.843975,0.76884365
433,19.836842,1.6315259
434,20.259415,2.9795442
435,20.72773,6.8248463
436,20.77333,8.215965
437,20.702782,8.903658
438,19.485329,1.388734
439,19.787909,2.343223
440,19.920784,3.5601137
441,20.302528,6.269651
442,20.376554,7.4996557
443,20.09237,8.412313
444,18.793236,2.1884196
445,19.121578,3.0602949
446,19.353334,4.2829256
447,19.473366,5.8247924
448,19.416058,7.0987463
449,19.159529,7.8752303
450,18.191994,3.0625193
451,18.374592,3.9555614
452,18.671354,4.8019185
453,18.540321,5.814893
454,18.436502,6.6856575
455,18.396338,7.546223
456,17.190323,3.7732623
457,17.691633,4.254561
458,17.648277,5.047236
459,17.675636,5.731627
460,17.403284,6.401101
461,17.183567,7.1294327
462,16.705442,3.873447
463,17.042282,4.4906335
464,16.899384,5.0848246
465,16.853968,5.577098
466,16.697401,6.2478724
467,16.586637,6.7905006
468,19.373857,0.76504654
469,19.651667,1.905072
470,19.78173,3.2549977
471,20.202429,6.8086023
472,20.155867,8.052212
473,20.183413,8.814234
474,19.007221,1.5793375
475,19.171349,2.3830125
476,19.375048,3.7982817
477,19.583008,6.2899384
478,19.64332,7.532485
479,19.786367,8.400617
480,18.322105,2.3635378
481,18.463053,3.2475991
482,18.73749,4.620242
483,18.76018,5.8509407
484,18.83898,7.083349
485,18.82211,8.03306
486,17.477459,2.9760327
487,17.649593,3.9645774
488,17.678045,5.0223484
489,17.677795,5.8102574
490,17.75792,6.758932
491,17.638298,7.549965
492,16.532179,3.6651335
493,16.945293,4.4822726
494,16.709028,5.273512
495,16.707243,5.7361298
496,16.720402,6.6143656
497,16.414642,7.5113993
498,15.863499,4.184817
499,16.102966,4.7774763
500,16.12035,5.233409
501,16.01369,5.722017
502,15.805127,6.466719
503,15.751101,6.934108
504,18.57357,1.1672117
505,18.785326,1.9629174
506,18.886211,3.4362712
507,19.2221,6.8190794
508,19.512756,8.077714
509,19.274069,8.797794
510,18.112658,1.6921707
511,18.133005,2.5968533
512,18.371313,4.039539
513,18.639051,6.2591057
514,18.81879,7.487378
515,18.72807,8.496208
516,17.200357,2.4437838
517,17.468828,3.2587593
518,17.672325,4.5517974
519,17.683014,5.957855
520,17.710426,7.1614375
521,17.56134,8.087208
522,16.399141,3.2542732
523,16.512018,4.0405803
524,16.535984,5.0370245
525,16.534649,5.766955
526,16.634624,6.875345
